tweet,label
شرب الحبة السوداء يشفي من السكري.,misinformation
تناول العسل على الريق يعالج كورونا.,misinformation
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
الكمون يزيل الحصى من الكلى تماماً.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
الليمون الساخن يعالج السرطان.,misinformation
المشروبات الغازية تنظف الكلى.,misinformation
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
شرب عصير البصل يعالج الربو.,misinformation
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
الحجامة تعالج جميع الأمراض.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
زيت الخروع يعالج السكري تماماً.,misinformation
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
تناول الخبز وحده يزيد المناعة.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
